Date,Year,Month,Customer Age,Customer Gender,Country,State,ProductCategory,Sub Category,Quantity,Unit Cost,Unit Price,Cost,Revenue,Profit
7/16/2022,2022,July,43,F,Germany,Hessen,Accessories,Bottles and Cages,2,45,59.5,90,119,29
7/16/2022,2022,July,43,F,Germany,Hessen,Accessories,Bottles and Cages,1,27,39,27,39,12
7/16/2022,2022,July,43,F,Germany,Hessen,Clothing,Jerseys,1,1188,1818,1188,1818,630
06/05/2022,2022,June,55,F,Germany,Bayern,Accessories,Bottles and Cages,2,45,64.5,90,129,39
06/05/2022,2022,June,55,F,Germany,Bayern,Clothing,Caps,2,85.5,121,171,242,71
06/05/2022,2022,June,55,F,Germany,Bayern,Accessories,Bottles and Cages,2,112.5,185.5,225,371,146
2/28/2022,2022,February,54,F,Germany,Hessen,Accessories,Bottles and Cages,3,24,38,72,114,42
2/28/2022,2022,February,54,F,Germany,Hessen,Accessories,Bottles and Cages,3,31.67,46,95,138,43
2/28/2022,2022,February,54,F,Germany,Hessen,Clothing,Gloves,1,122,167,122,167,45
09/08/2022,2022,September,54,M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,2,20,28,40,56,16
09/08/2022,2022,September,54,M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,2,20.5,28,41,56,15
10/17/2022,2022,October,54,M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,2,22.5,29,45,58,13
10/17/2022,2022,October,54,M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,1,319,418,319,418,99
10/17/2022,2022,October,54,M,Germany,Nordrhein-Westfalen,Accessories,Helmets,2,210,282.5,420,565,145
09/01/2022,2022,September,36,M,Germany,Nordrhein-Westfalen,Clothing,Jerseys,2,250,354.5,500,709,209
08/07/2022,2022,August,38,M,Germany,Saarland,Accessories,Bottles and Cages,3,13.33,18.333333,40,55,15
08/07/2022,2022,August,38,M,Germany,Saarland,Accessories,Bottles and Cages,1,10,12,10,12,2
08/07/2022,2022,August,38,M,Germany,Saarland,Accessories,Cleaners,2,24,34,48,68,20
11/27/2022,2022,November,38,M,Germany,Saarland,Accessories,Bottles and Cages,2,99,127,198,254,56
11/27/2022,2022,November,38,M,Germany,Saarland,Accessories,Bottles and Cages,3,40,56.666667,120,170,50
5/20/2022,2022,May,27,M,Germany,Hessen,Accessories,Helmets,1,945,1354,945,1354,409
8/26/2022,2022,August,27,M,Germany,Hessen,Accessories,Helmets,2,175,241.5,350,483,133
8/29/2022,2022,August,27,M,Germany,Hessen,Accessories,Helmets,3,58.33,71.333333,175,214,39
12/13/2022,2022,December,27,M,Germany,Hessen,Accessories,Helmets,3,11.67,15,35,45,10
5/20/2022,2022,May,27,M,Germany,Hessen,Accessories,Tires and Tubes,1,551,761,551,761,210
5/20/2022,2022,May,27,M,Germany,Hessen,Accessories,Tires and Tubes,2,12.5,21,25,42,17
8/26/2022,2022,August,27,M,Germany,Hessen,Accessories,Tires and Tubes,1,580,778,580,778,198
8/26/2022,2022,August,27,M,Germany,Hessen,Accessories,Tires and Tubes,1,135,184,135,184,49
09/03/2022,2022,September,27,M,Germany,Hessen,Accessories,Tires and Tubes,3,9,11.333333,27,34,7
9/30/2022,2022,September,27,M,Germany,Hessen,Accessories,Tires and Tubes,2,43.5,53,87,106,19
10/01/2022,2022,October,27,M,Germany,Hessen,Accessories,Tires and Tubes,2,87,117,174,234,60
10/01/2022,2022,October,27,M,Germany,Hessen,Accessories,Tires and Tubes,3,1.67,2.333333,5,7,2
10/25/2022,2022,October,27,M,Germany,Hessen,Accessories,Tires and Tubes,2,44,60,88,120,32
10/25/2022,2022,October,27,M,Germany,Hessen,Accessories,Tires and Tubes,1,23,30,23,30,7
12/13/2022,2022,December,27,M,Germany,Hessen,Accessories,Tires and Tubes,1,80,100,80,100,20
12/13/2022,2022,December,27,M,Germany,Hessen,Accessories,Tires and Tubes,2,390,546.5,780,1093,313
02/06/2022,2022,February,46,F,Germany,Hessen,Accessories,Tires and Tubes,3,121.67,195.666667,365,587,222
8/14/2022,2022,August,46,F,Germany,Hessen,Accessories,Tires and Tubes,1,522,667,522,667,145
8/14/2022,2022,August,46,F,Germany,Hessen,Accessories,Tires and Tubes,1,150,195,150,195,45
09/03/2022,2022,September,46,F,Germany,Hessen,Accessories,Tires and Tubes,3,116.67,162,350,486,136
09/03/2022,2022,September,46,F,Germany,Hessen,Accessories,Tires and Tubes,1,20,27,20,27,7
9/27/2022,2022,September,46,F,Germany,Hessen,Accessories,Tires and Tubes,1,55,73,55,73,18
9/27/2022,2022,September,46,F,Germany,Hessen,Accessories,Tires and Tubes,3,5.33,7,16,21,5
12/10/2022,2022,December,46,F,Germany,Hessen,Accessories,Tires and Tubes,1,780,1037,780,1037,257
12/10/2022,2022,December,46,F,Germany,Hessen,Accessories,Tires and Tubes,3,26.67,36.666667,80,110,30
10/02/2022,2022,October,45,F,Germany,Hamburg,Clothing,Jerseys,3,72,102.333333,216,307,91
12/25/2022,2022,December,45,M,Germany,Saarland,Clothing,Jerseys,3,486,674,1458,2022,564
02/05/2022,2022,February,43,M,Germany,Bayern,Clothing,Gloves,1,245,403,245,403,158
4/13/2022,2022,April,43,F,Germany,Bayern,Bikes,Touring Bikes,3,794.67,948,2384,2844,460
4/13/2022,2022,April,43,F,Germany,Bayern,Clothing,Caps,3,54,76.333333,162,229,67
4/20/2022,2022,April,43,F,Germany,Bayern,Accessories,Helmets,3,210,306.333333,630,919,289
08/12/2022,2022,August,43,F,Germany,Bayern,Bikes,Mountain Bikes,2,1147.5,1352.5,2295,2705,410
08/12/2022,2022,August,43,F,Germany,Bayern,Accessories,Bottles and Cages,2,10,14,20,28,8
08/12/2022,2022,August,43,F,Germany,Bayern,Accessories,Bottles and Cages,2,10,14,20,28,8
08/12/2022,2022,August,43,F,Germany,Bayern,Accessories,Helmets,3,326.67,401.666667,980,1205,225
10/11/2022,2022,October,43,F,Germany,Bayern,Bikes,Road Bikes,2,850.5,877.5,1701,1755,54
10/11/2022,2022,October,43,F,Germany,Bayern,Accessories,Helmets,3,350,472,1050,1416,366
10/11/2022,2022,October,43,F,Germany,Bayern,Clothing,Caps,1,135,169,135,169,34
10/21/2022,2022,October,43,F,Germany,Bayern,Bikes,Road Bikes,1,2443,2927,2443,2927,484
2/17/2022,2022,February,53,M,Germany,Hessen,Accessories,Bottles and Cages,1,140,225,140,225,85
2/17/2022,2022,February,53,M,Germany,Hessen,Accessories,Bottles and Cages,1,144,195,144,195,51
6/19/2022,2022,June,52,M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,3,40,63.333333,120,190,70
6/19/2022,2022,June,52,M,Germany,Nordrhein-Westfalen,Accessories,Helmets,1,700,1123,700,1123,423
6/24/2022,2022,June,52,M,Germany,Nordrhein-Westfalen,Accessories,Helmets,2,385,633.5,770,1267,497
12/13/2022,2022,December,52,M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,1,150,192,150,192,42
12/13/2022,2022,December,52,M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,3,150,200.333333,450,601,151
12/13/2022,2022,December,52,M,Germany,Nordrhein-Westfalen,Accessories,Helmets,1,420,552,420,552,132
4/22/2022,2022,April,43,F,Germany,Hamburg,Bikes,Touring Bikes,3,794.67,931.333333,2384,2794,410
4/22/2022,2022,April,43,F,Germany,Hamburg,Clothing,Caps,1,162,239,162,239,77
7/21/2022,2022,July,43,F,Germany,Hamburg,Bikes,Road Bikes,2,270,281.5,540,563,23
8/28/2022,2022,August,43,F,Germany,Hamburg,Bikes,Mountain Bikes,3,765,919,2295,2757,462
12/28/2022,2022,December,43,F,Germany,Hamburg,Bikes,Road Bikes,3,567,661.333333,1701,1984,283
12/28/2022,2022,December,43,F,Germany,Hamburg,Accessories,Hydration Packs,2,302.5,429,605,858,253
01/02/2022,2022,January,44,F,Germany,Saarland,Clothing,Caps,2,103.5,130,207,260,53
2/20/2022,2022,February,44,F,Germany,Saarland,Clothing,Caps,2,54,86.5,108,173,65
08/12/2022,2022,August,44,F,Germany,Saarland,Clothing,Caps,1,234,287,234,287,53
9/14/2022,2022,September,44,F,Germany,Saarland,Clothing,Caps,1,207,267,207,267,60
10/23/2022,2022,October,44,F,Germany,Saarland,Clothing,Caps,2,90,125.5,180,251,71
4/22/2022,2022,April,44,F,Germany,Saarland,Bikes,Touring Bikes,1,2384,3161,2384,3161,777
4/24/2022,2022,April,44,F,Germany,Saarland,Bikes,Touring Bikes,3,794.67,1061.333333,2384,3184,800
9/20/2022,2022,September,45,F,Germany,Nordrhein-Westfalen,Accessories,Helmets,1,770,1032,770,1032,262
9/20/2022,2022,September,45,F,Germany,Nordrhein-Westfalen,Clothing,Jerseys,3,50,66.666667,150,200,50
3/30/2022,2022,March,45,M,Germany,Bayern,Bikes,Road Bikes,1,1701,2113,1701,2113,412
3/30/2022,2022,March,45,M,Germany,Bayern,Accessories,Bottles and Cages,3,15,21.333333,45,64,19
3/30/2022,2022,March,45,M,Germany,Bayern,Accessories,Bottles and Cages,2,72,112,144,224,80
3/30/2022,2022,March,45,M,Germany,Bayern,Accessories,Helmets,3,128.33,212,385,636,251
04/02/2022,2022,April,45,M,Germany,Bayern,Bikes,Touring Bikes,1,2384,3455,2384,3455,1071
04/02/2022,2022,April,45,M,Germany,Bayern,Accessories,Bottles and Cages,3,48.33,77,145,231,86
04/02/2022,2022,April,45,M,Germany,Bayern,Accessories,Bottles and Cages,1,27,39,27,39,12
09/11/2022,2022,September,45,M,Germany,Bayern,Bikes,Mountain Bikes,3,765,967,2295,2901,606
09/11/2022,2022,September,45,M,Germany,Bayern,Accessories,Tires and Tubes,3,175,246.333333,525,739,214
09/11/2022,2022,September,45,M,Germany,Bayern,Accessories,Helmets,2,35,45,70,90,20
5/27/2022,2022,May,48,F,Germany,Nordrhein-Westfalen,Accessories,Helmets,3,116.67,173.666667,350,521,171
08/09/2022,2022,August,48,F,Germany,Nordrhein-Westfalen,Accessories,Helmets,2,105,142.5,210,285,75
8/25/2022,2022,August,24,M,Germany,Saarland,Bikes,Mountain Bikes,3,765,828.666667,2295,2486,191
1/14/2022,2022,January,24,M,Germany,Hessen,Accessories,Helmets,1,210,292,210,292,82
1/18/2022,2022,January,24,M,Germany,Hessen,Accessories,Helmets,2,455,750,910,1500,590
3/28/2022,2022,March,24,M,Germany,Hessen,Accessories,Helmets,2,297.5,476.5,595,953,358
04/06/2022,2022,April,24,M,Germany,Hessen,Accessories,Helmets,3,81.67,132.333333,245,397,152
05/12/2022,2022,May,24,M,Germany,Hessen,Accessories,Helmets,3,326.67,479,980,1437,457
09/07/2022,2022,September,24,M,Germany,Hessen,Accessories,Helmets,3,326.67,432.333333,980,1297,317
9/23/2022,2022,September,24,M,Germany,Hessen,Accessories,Helmets,3,46.67,66.333333,140,199,59
12/28/2022,2022,December,24,M,Germany,Hessen,Accessories,Helmets,1,70,90,70,90,20
7/20/2022,2022,July,25,M,Germany,Saarland,Bikes,Mountain Bikes,3,765,937.666667,2295,2813,518
5/27/2022,2022,May,26,F,Germany,Bayern,Accessories,Helmets,3,128.33,202,385,606,221
8/23/2022,2022,August,26,M,Germany,Brandenburg,Bikes,Mountain Bikes,1,2320,2344,2320,2344,24
8/23/2022,2022,August,26,M,Germany,Brandenburg,Accessories,Helmets,3,198.33,272.666667,595,818,223
9/16/2022,2022,September,30,F,Germany,Saarland,Clothing,Jerseys,1,54,70,54,70,16
4/15/2022,2022,April,31,F,Germany,Hessen,Bikes,Mountain Bikes,1,769,1006,769,1006,237
9/15/2022,2022,September,31,F,Germany,Hessen,Bikes,Mountain Bikes,3,773.33,868.666667,2320,2606,286
07/02/2022,2022,July,18,M,Germany,Bayern,Accessories,Helmets,3,233.33,353,700,1059,359
07/07/2022,2022,July,19,F,Germany,Saarland,Accessories,Tires and Tubes,3,15,24.333333,45,73,28
9/25/2022,2022,September,19,F,Germany,Saarland,Bikes,Mountain Bikes,2,1160,1323,2320,2646,326
9/25/2022,2022,September,19,F,Germany,Saarland,Accessories,Tires and Tubes,3,268.33,370.333333,805,1111,306
9/25/2022,2022,September,19,F,Germany,Saarland,Accessories,Tires and Tubes,3,20,27.333333,60,82,22
01/11/2022,2022,January,20,M,Germany,Hessen,Accessories,Helmets,3,163.33,243,490,729,239
5/18/2022,2022,May,20,M,Germany,Hessen,Accessories,Helmets,2,280,444,560,888,328
09/01/2022,2022,September,21,F,Germany,Saarland,Bikes,Mountain Bikes,2,1147.5,1349.5,2295,2699,404
5/28/2022,2022,May,22,F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,3,38.33,51.666667,115,155,40
5/28/2022,2022,May,22,F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,1,216,315,216,315,99
6/21/2022,2022,June,22,F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,2,1147.5,1656,2295,3312,1017
6/14/2022,2022,June,22,F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,3,690.33,738,2071,2214,143
09/01/2022,2022,September,22,F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,1,125,174,125,174,49
09/01/2022,2022,September,22,F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,2,4.5,6.5,9,13,4
10/26/2022,2022,October,22,F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,1,2295,2675,2295,2675,380
10/26/2022,2022,October,22,F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,3,43.33,52.666667,130,158,28
10/26/2022,2022,October,22,F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,2,7.5,10.5,15,21,6
10/07/2022,2022,October,22,F,Germany,Saarland,Accessories,Bottles and Cages,1,50,69,50,69,19
10/07/2022,2022,October,22,F,Germany,Saarland,Accessories,Bottles and Cages,1,115,158,115,158,43
5/20/2022,2022,May,40,F,Germany,Hamburg,Bikes,Touring Bikes,3,794.67,1065.666667,2384,3197,813
6/27/2022,2022,June,40,F,Germany,Hamburg,Bikes,Touring Bikes,2,1192,1464,2384,2928,544
6/27/2022,2022,June,40,F,Germany,Hamburg,Accessories,Bottles and Cages,1,36,53,36,53,17
6/27/2022,2022,June,40,F,Germany,Hamburg,Accessories,Bottles and Cages,3,3.33,5.333333,10,16,6
09/12/2022,2022,September,40,F,Germany,Hamburg,Accessories,Bottles and Cages,1,50,70,50,70,20
09/12/2022,2022,September,40,F,Germany,Hamburg,Accessories,Bottles and Cages,3,16.67,22.666667,50,68,18
10/12/2022,2022,October,40,F,Germany,Hamburg,Accessories,Bottles and Cages,1,110,157,110,157,47
10/12/2022,2022,October,40,F,Germany,Hamburg,Accessories,Bottles and Cages,2,5,7.5,10,15,5
02/06/2022,2022,February,41,F,Germany,Hessen,Bikes,Touring Bikes,3,794.67,1072.333333,2384,3217,833
03/12/2022,2022,March,41,F,Germany,Hessen,Bikes,Mountain Bikes,1,2320,3071,2320,3071,751
03/12/2022,2022,March,41,F,Germany,Hessen,Clothing,Jerseys,3,144,218,432,654,222
5/29/2022,2022,May,41,F,Germany,Hessen,Bikes,Touring Bikes,3,794.67,923.666667,2384,2771,387
5/29/2022,2022,May,41,F,Germany,Hessen,Clothing,Caps,1,117,193,117,193,76
5/29/2022,2022,May,41,F,Germany,Hessen,Accessories,Helmets,2,175,267.5,350,535,185
06/06/2022,2022,June,41,F,Germany,Hessen,Bikes,Road Bikes,3,567,668.333333,1701,2005,304
06/06/2022,2022,June,41,F,Germany,Hessen,Clothing,Caps,1,72,107,72,107,35
06/06/2022,2022,June,41,F,Germany,Hessen,Clothing,Jerseys,1,648,871,648,871,223
9/23/2022,2022,September,41,F,Germany,Hessen,Bikes,Mountain Bikes,3,773.33,792,2320,2376,56
01/10/2022,2022,January,41,F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,2,1160,1303,2320,2606,286
01/10/2022,2022,January,41,F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,2,140,226.5,280,453,173
01/10/2022,2022,January,41,F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,3,26.67,38.333333,80,115,35
01/10/2022,2022,January,41,F,Germany,Nordrhein-Westfalen,Accessories,Helmets,1,595,881,595,881,286
05/07/2022,2022,May,41,F,Germany,Nordrhein-Westfalen,Bikes,Touring Bikes,2,1192,1429.5,2384,2859,475
05/07/2022,2022,May,41,F,Germany,Nordrhein-Westfalen,Accessories,Helmets,2,367.5,546,735,1092,357
6/27/2022,2022,June,41,F,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,2,850.5,1196.5,1701,2393,692
6/27/2022,2022,June,41,F,Germany,Nordrhein-Westfalen,Clothing,Caps,3,48,74.666667,144,224,80
9/13/2022,2022,September,41,F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,1,2320,2726,2320,2726,406
9/13/2022,2022,September,41,F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,3,60,77.666667,180,233,53
9/13/2022,2022,September,41,F,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,1,25,35,25,35,10
11/02/2022,2022,November,41,F,Germany,Nordrhein-Westfalen,Bikes,Touring Bikes,3,794.67,931.333333,2384,2794,410
11/02/2022,2022,November,41,F,Germany,Nordrhein-Westfalen,Clothing,Caps,3,36,45.666667,108,137,29
3/19/2022,2022,March,41,F,Germany,Hamburg,Bikes,Touring Bikes,2,1192,1503.5,2384,3007,623
5/17/2022,2022,May,41,F,Germany,Hamburg,Bikes,Touring Bikes,1,2384,3245,2384,3245,861
5/17/2022,2022,May,41,F,Germany,Hamburg,Accessories,Bottles and Cages,3,13.33,20,40,60,20
5/17/2022,2022,May,41,F,Germany,Hamburg,Accessories,Bottles and Cages,3,66,105.666667,198,317,119
6/22/2022,2022,June,41,F,Germany,Hamburg,Bikes,Road Bikes,3,814.33,1134.666667,2443,3404,961
07/03/2022,2022,July,41,F,Germany,Hamburg,Bikes,Road Bikes,2,560,644.5,1120,1289,169
07/03/2022,2022,July,41,F,Germany,Hamburg,Clothing,Caps,2,31.5,41.5,63,83,20
07/03/2022,2022,July,41,F,Germany,Hamburg,Clothing,Jerseys,1,54,67,54,67,13
7/27/2022,2022,July,41,F,Germany,Hamburg,Bikes,Mountain Bikes,3,773.33,918.666667,2320,2756,436
7/27/2022,2022,July,41,F,Germany,Hamburg,Accessories,Bottles and Cages,3,56.67,71.333333,170,214,44
09/06/2022,2022,September,41,F,Germany,Hamburg,Bikes,Mountain Bikes,2,1160,1338.5,2320,2677,357
09/06/2022,2022,September,41,F,Germany,Hamburg,Accessories,Bottles and Cages,2,90,115,180,230,50
09/06/2022,2022,September,41,F,Germany,Hamburg,Accessories,Bottles and Cages,3,43.33,60,130,180,50
11/24/2022,2022,November,41,F,Germany,Hamburg,Bikes,Mountain Bikes,1,2320,2592,2320,2592,272
10/03/2022,2022,October,34,M,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,2,2.5,3.5,5,7,2
10/03/2022,2022,October,34,M,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,2,135,184,270,368,98
10/03/2022,2022,October,34,M,Germany,Nordrhein-Westfalen,Accessories,Helmets,2,227.5,319.5,455,639,184
10/27/2022,2022,October,36,M,Germany,Hessen,Bikes,Mountain Bikes,3,773.33,835.333333,2320,2506,186
10/27/2022,2022,October,36,M,Germany,Hessen,Clothing,Socks,1,216,265,216,265,49
1/15/2022,2022,January,39,F,Germany,Saarland,Accessories,Bottles and Cages,1,261,433,261,433,172
1/15/2022,2022,January,39,F,Germany,Saarland,Accessories,Bottles and Cages,1,30,48,30,48,18
11/16/2022,2022,November,39,F,Germany,Saarland,Accessories,Bottles and Cages,3,70,95,210,285,75
11/16/2022,2022,November,39,F,Germany,Saarland,Accessories,Bottles and Cages,1,145,203,145,203,58
11/03/2022,2022,November,40,F,Germany,Bayern,Accessories,Bottles and Cages,3,73.33,98,220,294,74
11/03/2022,2022,November,40,F,Germany,Bayern,Clothing,Caps,2,76.5,109.5,153,219,66
11/03/2022,2022,November,40,F,Germany,Bayern,Accessories,Bottles and Cages,3,25,34,75,102,27
3/13/2022,2022,March,40,F,Germany,Hessen,Bikes,Mountain Bikes,1,2295,3005,2295,3005,710
3/13/2022,2022,March,40,F,Germany,Hessen,Accessories,Helmets,1,350,485,350,485,135
11/22/2022,2022,November,40,F,Germany,Hessen,Bikes,Mountain Bikes,3,765,800.333333,2295,2401,106
11/22/2022,2022,November,40,F,Germany,Hessen,Accessories,Helmets,1,70,97,70,97,27
11/26/2022,2022,November,40,F,Germany,Hessen,Bikes,Mountain Bikes,1,2320,2736,2320,2736,416
12/03/2022,2022,December,40,F,Germany,Hessen,Bikes,Mountain Bikes,3,188.33,223.333333,565,670,105
07/01/2022,2022,July,41,M,Germany,Hessen,Bikes,Mountain Bikes,2,1160,1305,2320,2610,290
12/16/2022,2022,December,41,M,Germany,Hessen,Bikes,Mountain Bikes,2,1147.5,1262,2295,2524,229
12/16/2022,2022,December,41,M,Germany,Hessen,Accessories,Helmets,3,58.33,79.666667,175,239,64
1/16/2022,2022,January,42,M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,1,2320,3070,2320,3070,750
1/16/2022,2022,January,42,M,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,3,16.67,26.333333,50,79,29
1/16/2022,2022,January,42,M,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,2,150,231,300,462,162
03/08/2022,2022,March,42,M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,3,188.33,268,565,804,239
04/09/2022,2022,April,42,M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,1,2320,3263,2320,3263,943
6/22/2022,2022,June,42,M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,3,765,996,2295,2988,693
9/17/2022,2022,September,42,M,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,3,42,56,126,168,42
9/17/2022,2022,September,42,M,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,1,80,107,80,107,27
12/12/2022,2022,December,42,M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,2,1147.5,1358,2295,2716,421
12/12/2022,2022,December,42,M,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,2,60,76.5,120,153,33
1/14/2022,2022,January,56,F,Germany,Hessen,Accessories,Helmets,3,151.67,227.333333,455,682,227
5/13/2022,2022,May,56,F,Germany,Hessen,Accessories,Helmets,1,105,152,105,152,47
12/04/2022,2022,December,56,F,Germany,Hessen,Bikes,Mountain Bikes,1,2320,2835,2320,2835,515
12/04/2022,2022,December,56,F,Germany,Hessen,Accessories,Tires and Tubes,3,186.67,236.666667,560,710,150
12/04/2022,2022,December,56,F,Germany,Hessen,Accessories,Helmets,1,805,1057,805,1057,252
12/04/2022,2022,December,56,F,Germany,Hessen,Clothing,Caps,3,81,101,243,303,60
01/10/2022,2022,January,56,F,Germany,Saarland,Accessories,Helmets,3,93.33,129,280,387,107
3/20/2022,2022,March,56,F,Germany,Saarland,Accessories,Helmets,1,35,52,35,52,17
06/07/2022,2022,June,36,M,Germany,Hessen,Clothing,Jerseys,3,150,244.666667,450,734,284
10/27/2022,2022,October,36,M,Germany,Hessen,Clothing,Jerseys,1,150,178,150,178,28
12/14/2022,2022,December,36,M,Germany,Hessen,Clothing,Jerseys,3,183.33,250.666667,550,752,202
04/03/2022,2022,April,36,F,Germany,Hamburg,Clothing,Jerseys,1,250,365,250,365,115
2/21/2022,2022,February,38,F,Germany,Nordrhein-Westfalen,Accessories,Helmets,3,186.67,288.333333,560,865,305
12/12/2022,2022,December,38,F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,1,2295,2694,2295,2694,399
12/12/2022,2022,December,38,F,Germany,Nordrhein-Westfalen,Accessories,Helmets,3,326.67,428.333333,980,1285,305
10/18/2022,2022,October,39,M,Germany,Hamburg,Clothing,Jerseys,1,1250,1604,1250,1604,354
01/11/2022,2022,January,37,F,Germany,Nordrhein-Westfalen,Accessories,Fenders,2,11,17,22,34,12
01/11/2022,2022,January,37,F,Germany,Nordrhein-Westfalen,Clothing,Vests,3,106,165.666667,318,497,179
02/02/2022,2022,February,39,M,Germany,Bayern,Clothing,Jerseys,1,300,414,300,414,114
5/25/2022,2022,May,39,M,Germany,Bayern,Clothing,Jerseys,3,522,699.666667,1566,2099,533
1/31/2022,2022,January,27,F,Germany,Hessen,Clothing,Jerseys,1,1512,2302,1512,2302,790
1/17/2022,2022,January,27,F,Germany,Hessen,Bikes,Mountain Bikes,2,1147.5,1468,2295,2936,641
1/31/2022,2022,January,27,F,Germany,Hessen,Bikes,Mountain Bikes,1,2295,3040,2295,3040,745
01/02/2022,2022,January,27,F,Germany,Hessen,Bikes,Mountain Bikes,1,2071,2593,2071,2593,522
1/16/2022,2022,January,27,F,Germany,Hessen,Bikes,Mountain Bikes,2,1035.5,1131,2071,2262,191
5/23/2022,2022,May,53,M,Germany,Brandenburg,Bikes,Touring Bikes,1,2384,3264,2384,3264,880
5/23/2022,2022,May,53,M,Germany,Brandenburg,Clothing,Socks,1,261,396,261,396,135
1/24/2022,2022,January,53,M,Germany,Brandenburg,Bikes,Mountain Bikes,3,690.33,740.666667,2071,2222,151
09/02/2022,2022,September,53,M,Germany,Brandenburg,Bikes,Mountain Bikes,2,1160,1353,2320,2706,386
